,sub,abs_sub
0,(18.360000000000014+0j),18.36
1,(24.80844291970102-114.54260478220368j),117.1984093
2,(-19.35189087279419-7.9500030579312995j),20.92123871
3,(-54.26663027247855-37.09697788506316j),65.73471632
4,(-7.5563052319440835+8.049022899788714j),11.04013217
5,(-14.510733524191686+16.1225427922826j),21.69096064
6,(-16.707505430126282-4.80541942370003j),17.38484379
7,(11.697987696427877+7.462838190459898j),13.87576556
8,(-20.598074541123346+3.78185256720976j),20.94237531
9,(23.263514790770966+12.726138084043093j),26.51689482
10,(-37.415997974491916-73.18394153414212j),82.19395478
11,(11.077661953339076-35.55553701784194j),37.24125142
12,(-4.824863105201792+0.422832679618268j),4.843355393
13,(-27.125619198602166-17.351782783148117j),32.20067674
14,(3.8691938068587834+72.59499115674583j),72.69802887
15,(11.541097879863289-62.510956587481495j),63.56741802
16,(30.131281296467034+2.855051395838343j),30.26624243
17,(28.497187839749085+20.328102392075536j),35.00459201
18,(28.723621207941328-24.514141871565393j),37.76227704
19,(-17.166325849143156-29.866412194373048j),34.44829924
20,(41.79882428077934+34.181646677960956j),53.99561724
21,(-27.876840318269288+14.876490768344325j),31.59791455
22,(-9.138839136949695+0.2633150961960764j),9.142631766
23,(19.14785504082856+43.78788873709391j),47.79141714
24,(15.93422634231564-38.90293267598269j),42.03971622
25,(-12.201178342771323+35.003784441306706j),37.06930911
26,(-16.91779667392342-25.222369833823233j),30.37070602
27,(-14.762951689163087-20.958352037420994j),25.63585892
28,(-18.35432726457257-2.9055071328369335j),18.58287655
29,(4.598299955552746+23.22507623640111j),23.67590608
30,(-28.45739964299616-2.0067189210189724j),28.5280654
31,(38.34144051451096+0.2764367214730772j),38.34243704
32,(30.1716264719766+18.71020927684188j),35.50209818
33,(12.220019230924015-24.017534434562624j),26.94755704
34,(12.58095990487013-0.9702522128097082j),12.6183177
35,(-0.7301145797624322-30.058496630489252j),30.06736249
36,(7.007388906588769+5.883516807955855j),9.149823458
37,(-22.23998475585383+9.908696702312076j),24.34746788
38,(-7.984957848883489+24.83250334735228j),26.08472301
39,(-14.839028029031862-2.5219199969374833j),15.05180499
40,(17.43969755970688+11.804213403447594j),21.05902431
41,(-17.916760698136194+28.905171932366983j),34.00763559
42,(-10.138672174749994-40.3374858991585j),41.59213197
43,(-10.42295913377506+2.5901766078160042j),10.73997635
44,(3.364698459931419+3.1686036972038476j),4.621822705
45,(-9.852874276479561-2.0147846586183285j),10.05676333
46,(-12.332530616535108-0.8400927872362898j),12.36111109
47,(41.863497075239025+3.3872034324123295j),42.00030398
48,(4.88040901816637-23.958688643728024j),24.45070865
49,(22.001428374558373+4.8125769894876225j),22.52162844
50,(-1.1320572901519512-13.419964479683248j),13.46762787
51,(-0.3413662210514694-41.896721892535176j),41.89811256
52,(-7.094161367180872+36.04154403356958j),36.73309165
53,(-4.334380050590111+1.0529928567541003j),4.460453383
54,(-28.184629420197588+12.10814331231538j),30.67540497
55,(19.369909016980852+22.55929273417584j),29.73407244
56,(16.51225770821126+16.455998835716837j),23.31211171
57,(-17.439975593955435+1.7179487240772204j),17.52438577
58,(19.927904092850618+1.9568413314482385j),20.02375064
59,(-8.159611912395413-19.934905930871206j),21.54018897
60,(-6.4958121198101395-8.717562670549842j),10.87159022
61,(-0.7629370396944282+16.209170549454008j),16.22711567
62,(-10.49438974209102-23.94721043832983j),26.14576646
63,(3.411100215102172+2.578345609217454j),4.275917534
64,(24.016382799469234-3.3717507911492706j),24.25191428
65,(-10.001774076505573-4.860916704596642j),11.12043146
66,(-4.271771435278707-14.769870676467521j),15.37521093
67,(16.309660870076428-6.2096404962013425j),17.45178136
68,(-11.295504913872433+9.657013822263785j),14.86089995
69,(-1.6555482309528156+7.499455967943719j),7.680018214
70,(4.193859686916982+17.181482653748382j),17.6859211
71,(9.848331988700812-0.6172902997314438j),9.867658804
72,(15.628205700647921+14.070718912700398j),21.02916889
73,(7.662003095171023+1.0559512651048921j),7.73442464
74,(-3.4484101161888003-5.6998575835132135j),6.661824735
75,(-3.4909066880670014-16.15178367636548j),16.52472528
76,(-0.8461529212113241+15.035512630442788j),15.05930326
77,(-22.20190598733818-3.6056568599404453j),22.49278531
78,(-9.589346651048448-0.4708692750310881j),9.600900326
79,(1.9066267152016687+10.565103256482216j),10.73576417
80,(-1.0225494061674416-5.4504455200783255j),5.545535471
81,(-7.4937297877948685+6.801763323458269j),10.12027522
82,(5.704148950315968-8.901344135402377j),10.57219195
83,(-0.1463260707626639-6.42993530943469j),6.431600065
84,(-0.28909035449019527+0.16516429948375067j),0.332945159
85,(8.62578420013323+8.08527043047922j),11.82267952
86,(-6.360038020200638-6.738645905096181j),9.266036491
87,(14.900866069522694+2.19992938471769j),15.06238689
88,(10.701684157242974+4.975002855023754j),11.80155486
89,(-3.5486394146081666-5.366064241940996j),6.433310745
90,(-0.8484696663677831+2.302101870020373j),2.453481974
91,(5.491562091525757-4.0645556096823725j),6.832120206
92,(-14.191604057066266+9.306798401077575j),16.97109667
93,(-1.0686502454381417+9.476093304163838j),9.53616053
94,(-4.341312854585813+2.903142234572517j),5.222569496
95,(-3.3957210746382698+6.374196036439454j),7.222277807
96,(4.351749556150464+2.123669454112781j),4.842282122
97,(-1.3684272848515229+1.0729936795991382j),1.73893895
98,(-6.228529078655883-9.213990970316463j),11.12169969
99,(5.056142129067606-2.172997912360734j),5.50331656
100,(0.4326315561749633-6.178806798575256j),6.193934413
101,(-6.156746955258681+3.8600177655099737j),7.266723486
102,(3.8429472704451317-10.417218597343581j),11.10345383
103,(2.3945591046115227+2.9846879957760137j),3.826522669
104,(1.58880544451777-0.8108663383111521j),1.783762024
105,(2.2682442302137136-1.5693614888493008j),2.758229028
106,(-1.2299888880806829+4.366550864855219j),4.536478714
107,(-2.6866360454836253+1.5724132910223698j),3.11295628
108,(4.722655493148605+7.343187951974171j),8.730743623
109,(-2.040441053801814+5.008386879144404j),5.408080882
110,(0.3879470741917954+3.969200347643399j),3.988114132
111,(3.528611729884455-1.4865932640146837j),3.8289764
112,(2.2913942878978455+4.065347648490832j),4.666641114
113,(-6.91054520008946-1.2389421536006173j),7.020727357
114,(0.7029691554050573-4.422918014410648j),4.478433811
115,(-6.666625730673665-0.5544084751378509j),6.689638809
116,(-2.3103908042994186+0.925581742834213j),2.48889679
117,(-3.2927729290364325-0.4194264967711687j),3.319378277
118,(-2.003010172750732+0.1650181089170608j),2.009796191
119,(1.542210933658461-1.7051635938493652j),2.299129715
120,(1.2414694071321093-2.5445131925620976j),2.831217702
121,(1.8026739770685996+0.059762097519582724j),1.803664319
122,(-2.717572441617274-1.519637373258059j),3.113598838
123,(9.293652539049866-4.103686463657184j),10.15934152
124,(-3.2372496279993923+3.2085483060557425j),4.557912613
125,(4.07364267402998+2.704170452516337j),4.889488979
126,(0.15138844697922504-2.0940170184703173j),2.099482254
127,(3.7872387509151+2.3269395704214975j),4.444977516
128,(-1.9016290270365506+2.2014530721533063j),2.909052867
129,(-0.008523446864511897+0.5126084015526837j),0.512679259
130,(-3.8415806248749904+4.14477243327872j),5.651272443
131,(-1.527592861972308+0.7411325924588058j),1.697886177
132,(-0.7182437999151363+2.690064017397492j),2.784298578
133,(-3.293894939691815+6.176651775352468j),7.000055073
134,(0.2573656267099651-2.3355656190357457j),2.349702923
